timestamp,amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,amphora-002a6401-7521-485b-a4fb-ede70de13870,amphora-0067676d-0ad2-4358-aa8b-cc9fbf926250,amphora-007a71c6-7f2c-42d7-ab40-3379953f1235,amphora-00853e9d-5b93-4ca2-86c1-ef4a1d9fe87e
2023-08-13 22:00:00+00:00,4.0,2.111111111111111,2.2222222222222223,2.194444444444444,2.0
2023-08-13 23:00:00+00:00,4.0,2.472222222222222,3.0,2.4583333333333335,2.0
2023-08-14 00:00:00+00:00,4.0,8.277777777777777,2.9444444444444446,2.9166666666666665,2.0
2023-08-14 01:00:00+00:00,4.0,8.305555555555555,2.875,3.0,2.0
2023-08-14 02:00:00+00:00,4.0,8.194444444444445,3.0,3.0,2.0
2023-08-14 03:00:00+00:00,4.0,9.027777777777777,2.236111111111111,3.0,2.0
2023-08-14 04:00:00+00:00,4.0,10.041666666666666,2.0,3.0,2.0
2023-08-14 05:00:00+00:00,4.0,8.63888888888889,2.9166666666666665,2.9583333333333335,2.0
2023-08-14 06:00:00+00:00,4.0,3.1805555555555554,2.5833333333333335,3.0,2.0
2023-08-14 07:00:00+00:00,4.0,2.0,2.25,3.0,2.0
2023-08-14 08:00:00+00:00,4.0,2.0416666666666665,2.0,3.0,2.0
2023-08-14 09:00:00+00:00,4.0,2.0,2.875,3.0,2.0
2023-08-14 10:00:00+00:00,4.0,2.0416666666666665,2.0833333333333335,3.0,2.0
2023-08-14 11:00:00+00:00,4.0,2.0,2.4583333333333335,3.0,2.0
2023-08-14 12:00:00+00:00,4.0,2.0,2.888888888888889,3.0,2.0
2023-08-14 13:00:00+00:00,4.0,2.0,2.9444444444444446,3.0,2.0
2023-08-14 14:00:00+00:00,4.0,2.0,2.847222222222222,3.0,2.0
2023-08-14 15:00:00+00:00,4.0,2.0,2.6527777777777777,3.0,2.0
2023-08-14 16:00:00+00:00,4.0,2.0,2.0,3.0,2.0
2023-08-14 17:00:00+00:00,4.0,2.0,2.0,3.0,2.0
2023-08-14 18:00:00+00:00,4.0,2.0,2.5833333333333335,3.0,2.0
2023-08-14 19:00:00+00:00,4.0,2.0,2.722222222222222,3.0,2.0
2023-08-14 20:00:00+00:00,4.0,2.3333333333333335,3.0,3.0,2.0
2023-08-14 21:00:00+00:00,4.0,2.0416666666666665,2.305555555555556,3.0,2.0
