hostname,timestamp,avg
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 03:15:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 03:20:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 03:25:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 03:30:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 03:35:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 03:40:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 03:45:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 03:50:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 03:55:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 04:00:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 04:05:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 04:10:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 04:15:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 04:20:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 04:25:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 04:30:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 04:35:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 04:40:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 04:45:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 04:50:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 04:55:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 05:00:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 05:05:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 05:10:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 05:15:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 05:20:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 05:25:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 05:30:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 05:35:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 05:40:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 05:45:00+00:00,4.0
