hostname,timestamp,avg
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T03:25:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T03:30:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T03:35:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T03:40:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T03:45:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T03:50:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T03:55:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T04:00:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T04:05:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T04:10:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T04:15:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T04:20:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T04:25:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T04:30:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T04:35:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T04:40:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T04:45:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T04:50:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T04:55:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T05:00:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T05:05:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T05:10:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T05:15:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T05:20:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T05:25:00Z,4
